video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
7311075224005496096,2023-12-10T16:05:56,402.0,IT,,12700.0,154.0,458.0,180200.0,,False,,streetreaction1,EasyTrend🌴,,,,,,False
7310302096719400198,2023-12-08T14:05:45,14.0,NG,,7499.0,946.0,194.0,63800.0,😂😂😂 #abcdavidimoudu #fypシ ,False,,davidimoudu,David Imoudu,,,,,,False
7299578731042196782,2023-11-09T16:33:53,31.0,US,,12000.0,135.0,47.0,6300000.0,New obsession! Tune into the @Miniverse bite-size competition series for fun new creative challenges that you can follow along with! #miniverse #diy #creative #miniversebitesize #unboxing #ad ,True,,wisteriem,Em 🌱 | Wisteriem,,,,,,False
7310590442192571654,2023-12-09T08:44:41,5.0,NG,,13700.0,339.0,291.0,126300.0,Im tired…i just want to hsve a detty December 😪 #fypシ゚viral #trendingtiktok #viraltiktok #foryoupage #igbochristmas #enugustate ,False,,ezeh_princess_,BabygirlCole,,,,,,False
7306908762932120838,2023-11-29T10:37:53,58.0,CA,,3406.0,587.0,43.0,78900.0,Nicholas Omane Achempong - Tabitha kum. #fyp #throwbacksongs #ghanatiktok #ghanatiktok🇬🇭 #goviral #viral #ghanasongs #ghana #africantiktok #african #VikingRise #alfilter #voiceeffects #colorcustomizer #oldgospelsongs #christiantiktok #gospel ,False,,ghana_song,Ghana songs,,,,,,False
7306121672074038561,2023-11-27T07:43:42,115.0,IE,,48300.0,758.0,1058.0,380400.0,Tag 2 friends 🤭 what would you do??  #fyp #explore #podcast #clips #funny #question #reactions #relatable ,False,,getthegistpodcast,GTG PODCAST,,,,,,False
7310408472061857030,2023-12-08T20:58:33,524.0,GH,,9550.0,20.0,60.0,82100.0,#kofiquan #kofiquanmusic #quanmusic #trend #fyp ,False,,kofiquanmusic,Kofi Quan Music,,,,,,False
7300929368166010119,2023-11-13T07:54:47,32.0,KR,"2 on, 2 on dance, 2 on tinashe, I Love To Get 2 On, lastofoct, tinashe, 2 on tinashe dance, 2 on choreography, 2 on dance cover, get 2 on",127300.0,921.0,180.0,1600000.0,간지폭풍 #Tinashe #2On #DANCE | #Choreography by @lastofoct YUMI 유미 | LJ DANCE STUDIO,False,,ljdance_0,LJDANCE,,,,,,False
7310312361083161861,2023-12-08T14:45:37,47.0,GH,,23900.0,207.0,1451.0,593400.0,Stephen Adom Kyei Duah sends police to arrest Rev Abronoma over  Offensive Conduct Part 2,False,,ghpage,GhPage,,,,,,False
7310235541218315526,2023-12-08T09:47:29,70.0,GH,,57400.0,223.0,702.0,460500.0,Sarkodie|Otan (A breakdown) #sarkodie #otan #ghmusic🇬🇭 #ghanatiktok🇬🇭 #trending #kwadwosheldonstudios ,False,,kwadwosheldonstudios,kwadwosheldonstudios,,,,,,False
7277633929690074370,2023-09-11T14:16:36,15.0,,,1601.0,24.0,11.0,9400000.0,"Words to live by: Dance like nobody’s scrolling, and shop millions of new & used cars on Autotrader.",True,,Autotrader,Autotrader,,,,,,False
7292932574853352746,2023-10-22T19:43:17,12.0,US,"life with strict parents, secretly dating with strict parents, dating with strict parents, secretly dating without my parents know, simplyysri, strict parent, Parents, parents of tiktok, fake facetime call prank on parents, Parent Life",1500000.0,35100.0,5053.0,9300000.0,the amount of ft calls ive been throwing across the room,False,,simplyysri,simplyysri,,,,,,False
